,07-12-21-11-02-04_fitted_on_100_EPOCHS,real,07-12-21-13-05-13_fitted_on_100_EPOCHS,07-12-21-15-32-10_fitted_on_100_EPOCHS,07-12-21-18-20-59_fitted_on_100_EPOCHS,07-12-21-20-59-27_fitted_on_100_EPOCHS,07-12-21-11-02-04_fitted_on_100_EPOCHS_weight,07-12-21-13-05-13_fitted_on_100_EPOCHS_weight,07-12-21-15-32-10_fitted_on_100_EPOCHS_weight,07-12-21-18-20-59_fitted_on_100_EPOCHS_weight,07-12-21-20-59-27_fitted_on_100_EPOCHS_weight
246,2,2,2,0,0,2,,,,,
247,2,2,2,0,2,2,,,,,
248,2,2,2,2,0,2,,,,,
249,2,2,2,0,2,2,,,,,
250,2,2,2,2,2,0,,,,,
251,2,2,2,2,2,0,,,,,
252,2,2,2,2,0,0,,,,,
253,2,2,2,2,2,0,,,,,
254,2,2,2,0,0,0,,,,,
255,2,2,2,0,0,0,,,,,
256,2,2,2,0,0,0,,,,,
257,0,2,2,0,0,0,,,,,
258,0,2,2,0,0,0,,,,,
259,2,2,2,0,0,0,,,,,
260,0,2,0,0,0,0,,,,,
261,0,2,0,0,0,0,,,,,
262,0,0,0,0,2,0,,,,,
263,0,1,0,0,2,0,,,,,
264,0,0,0,0,2,0,,,,,
265,0,0,0,0,2,0,,,,,
266,0,0,0,0,2,0,,,,,
267,2,0,0,0,2,0,,,,,
268,0,0,0,0,2,0,,,,,
269,2,0,0,0,2,0,,,,,
270,2,0,0,0,2,0,,,,,
271,2,0,0,0,2,0,,,,,
272,0,0,0,0,2,0,,,,,
273,0,0,0,0,2,0,,,,,
274,0,0,0,0,2,0,,,,,
275,2,0,0,0,2,0,,,,,
276,0,0,0,0,2,0,,,,,
277,0,0,0,0,2,0,,,,,
278,0,0,0,0,2,0,,,,,
279,0,0,0,0,2,0,,,,,
280,0,0,0,0,2,0,,,,,
281,0,0,0,0,0,0,,,,,
282,0,0,0,0,2,0,,,,,
283,0,0,0,0,2,0,,,,,
284,0,0,0,0,2,0,,,,,
285,0,0,0,0,2,0,,,,,
286,0,0,0,0,2,0,,,,,
287,0,0,0,0,2,0,,,,,
288,0,0,0,0,2,0,,,,,
289,0,0,0,0,2,0,,,,,
290,0,0,0,0,2,0,,,,,
291,0,0,0,0,2,0,,,,,
292,0,0,0,0,2,0,,,,,
293,0,0,0,0,2,2,,,,,
294,0,0,0,2,2,2,,,,,
295,0,0,0,2,2,2,,,,,
296,0,0,0,2,2,2,,,,,
297,0,0,0,2,2,2,,,,,
298,0,0,0,2,2,2,,,,,
299,0,0,2,2,2,2,,,,,
300,0,2,0,2,2,2,,,,,
301,0,1,2,2,2,2,,,,,
302,2,1,2,2,2,2,,,,,
303,2,2,2,2,2,2,,,,,
304,2,2,2,2,2,2,,,,,
305,2,2,2,2,2,2,,,,,
306,2,2,2,2,2,2,,,,,
307,2,2,2,2,2,2,,,,,
308,2,2,2,2,2,2,,,,,
309,2,2,2,2,2,2,,,,,
310,2,2,2,2,2,2,,,,,
311,2,0,2,2,2,2,,,,,
312,2,1,2,2,2,2,,,,,
313,0,0,2,2,2,2,,,,,
314,0,1,2,2,2,2,,,,,
315,0,1,2,2,2,2,,,,,
316,0,0,2,2,2,2,,,,,
317,0,0,2,2,2,2,,,,,
318,0,0,2,2,2,2,,,,,
319,0,0,0,0,2,2,,,,,
320,0,2,0,0,2,1,,,,,
321,0,2,0,0,2,2,,,,,
322,1,2,0,0,2,1,,,,,
323,0,2,0,2,2,1,,,,,
324,0,1,0,0,2,1,,,,,
325,0,1,2,2,2,0,,,,,
326,0,2,2,2,1,0,,,,,
327,0,1,0,0,2,0,,,,,
328,0,2,2,0,2,0,,,,,
329,0,2,2,0,2,0,,,,,
330,2,2,2,0,2,0,,,,,
331,0,2,2,0,2,0,,,,,
332,2,2,2,0,2,0,,,,,
333,2,2,2,2,2,0,,,,,
334,2,2,2,0,2,0,,,,,
335,2,2,2,0,2,0,,,,,
336,2,2,2,0,2,0,,,,,
337,0,0,2,0,2,0,,,,,
338,0,1,2,0,2,0,,,,,
339,0,1,1,0,2,0,,,,,
340,0,2,1,0,2,0,,,,,
341,2,1,1,0,2,0,,,,,
342,0,1,1,0,2,0,,,,,
343,0,1,1,0,2,1,,,,,
344,2,1,1,0,2,0,,,,,
345,2,0,1,0,2,0,,,,,
346,2,0,1,0,2,0,,,,,
347,0,0,2,0,2,0,,,,,
348,0,0,0,0,2,0,,,,,
349,0,0,0,0,2,0,,,,,
350,0,0,0,0,2,0,,,,,
351,0,0,0,0,2,0,,,,,
352,0,0,0,0,2,0,,,,,
353,0,0,0,0,2,0,,,,,
354,0,0,0,0,2,0,,,,,
355,0,0,0,0,2,0,,,,,
356,0,0,0,0,2,2,,,,,
357,0,0,0,0,2,0,,,,,
358,0,0,0,0,2,0,,,,,
359,0,0,0,0,2,0,,,,,
360,0,0,0,0,2,0,,,,,
361,0,0,0,0,2,0,,,,,
362,0,0,0,0,2,0,,,,,
363,0,0,0,0,2,0,,,,,
364,0,0,0,0,2,0,,,,,
365,0,0,0,0,2,0,,,,,
366,0,0,0,0,2,0,,,,,
367,0,0,0,0,2,0,,,,,
368,0,0,0,0,2,0,,,,,
369,0,0,0,0,2,0,,,,,
370,0,0,0,0,2,0,,,,,
371,0,0,0,0,2,0,,,,,
372,0,0,0,0,2,0,,,,,
373,0,0,0,0,2,0,,,,,
374,0,0,0,0,0,0,,,,,
375,0,0,0,0,0,0,,,,,
376,0,0,0,0,2,0,,,,,
377,0,0,0,0,2,0,,,,,
378,0,0,0,0,2,0,,,,,
379,0,0,0,0,2,0,,,,,
380,0,0,0,0,2,0,,,,,
381,0,0,0,0,2,0,,,,,
382,1,0,0,0,2,0,,,,,
383,2,0,0,0,2,0,,,,,
384,2,0,2,0,2,0,,,,,
385,2,0,0,2,2,0,,,,,
386,2,0,0,2,2,2,,,,,
387,0,0,0,2,2,0,,,,,
388,0,0,0,2,2,0,,,,,
389,0,2,0,2,2,2,,,,,
390,0,2,0,2,2,2,,,,,
391,0,2,0,0,2,2,,,,,
392,0,2,0,0,2,2,,,,,
393,0,2,2,0,2,2,,,,,
394,0,2,0,2,2,2,,,,,
395,0,2,0,2,2,2,,,,,
396,0,2,0,2,2,2,,,,,
397,0,0,0,2,2,2,,,,,
398,0,0,0,2,2,2,,,,,
399,0,0,0,0,2,2,,,,,
400,0,0,0,0,2,2,,,,,
401,0,0,0,0,2,2,,,,,
402,0,0,0,0,2,0,,,,,
403,0,0,0,0,2,0,,,,,
404,0,0,0,0,2,0,,,,,
405,0,0,0,0,2,0,,,,,
406,0,0,0,0,2,0,,,,,
407,0,0,0,0,2,0,,,,,
408,0,0,0,0,2,0,,,,,
409,0,2,0,0,2,2,,,,,
410,0,2,0,0,2,2,,,,,
411,0,2,0,0,0,2,,,,,
412,2,2,0,0,2,2,,,,,
413,0,2,0,2,2,2,,,,,
414,0,2,0,2,2,2,,,,,
415,0,2,0,2,2,2,,,,,
416,2,2,0,2,2,2,,,,,
417,0,0,0,2,2,2,,,,,
418,0,0,0,0,2,2,,,,,
419,2,0,0,2,2,2,,,,,
420,2,2,0,2,2,2,,,,,
421,2,2,2,2,2,2,,,,,
422,2,2,2,2,2,2,,,,,
423,2,2,2,2,2,2,,,,,
424,2,2,2,2,2,2,,,,,
425,0,2,2,2,2,2,,,,,
426,0,2,2,2,2,2,,,,,
427,2,2,2,2,2,2,,,,,
428,0,2,2,2,2,2,,,,,
429,0,2,2,2,2,2,,,,,
430,0,2,2,2,2,0,,,,,
431,0,2,2,2,2,2,,,,,
432,0,1,2,2,2,2,,,,,
433,0,2,2,2,2,2,,,,,
434,0,0,2,2,2,0,,,,,
435,2,0,2,2,2,0,,,,,
436,0,0,2,2,2,0,,,,,
437,0,0,0,2,0,0,,,,,
438,0,0,0,0,2,0,,,,,
439,0,0,0,0,2,0,,,,,
440,0,0,0,0,2,0,,,,,
441,0,0,0,0,2,0,,,,,
442,0,0,0,0,2,0,,,,,
443,0,0,0,1,2,0,,,,,
444,0,0,0,1,2,0,,,,,
445,0,0,0,1,2,0,,,,,
446,0,0,2,0,2,0,,,,,
447,0,0,2,2,2,0,,,,,
448,0,0,2,2,2,0,,,,,
449,0,0,2,2,2,0,,,,,
450,0,0,2,2,2,0,,,,,
451,0,0,2,2,2,0,,,,,
452,0,0,2,0,2,2,,,,,
453,0,0,2,2,2,2,,,,,
454,0,0,0,2,2,0,,,,,
455,0,0,0,2,2,0,,,,,
456,0,0,0,2,2,0,,,,,
457,0,0,0,2,2,0,,,,,
458,0,0,0,2,2,0,,,,,
459,0,0,0,0,2,0,,,,,
460,0,0,0,0,2,0,,,,,
461,0,0,0,0,2,0,,,,,
462,0,0,0,0,2,1,,,,,
463,0,0,0,0,2,1,,,,,
464,0,0,0,0,2,1,,,,,
465,0,0,0,0,2,2,,,,,
466,0,2,0,0,2,2,,,,,
467,2,2,0,2,2,2,,,,,
468,2,2,2,2,2,2,,,,,
469,2,2,2,2,2,2,,,,,
470,2,2,2,2,2,2,,,,,
471,2,2,2,2,2,2,,,,,
472,2,2,2,2,2,2,,,,,
473,2,2,2,2,2,2,,,,,
474,2,2,2,2,2,2,,,,,
475,2,2,2,2,2,2,,,,,
476,2,2,2,2,2,2,,,,,
477,2,2,2,2,2,2,,,,,
478,0,0,2,2,2,2,,,,,
479,0,2,2,2,2,2,,,,,
480,0,0,2,2,2,2,,,,,
481,0,0,2,2,2,2,,,,,
482,0,2,2,0,2,2,,,,,
483,0,2,0,0,2,2,,,,,
484,0,2,2,0,2,2,,,,,
485,0,2,2,0,2,2,,,,,
486,2,2,2,0,2,2,,,,,
487,2,2,2,0,2,2,,,,,
488,2,2,2,0,2,2,,,,,
489,2,2,2,0,2,2,,,,,
490,2,2,2,2,2,2,,,,,
491,2,2,2,2,2,2,,,,,
492,2,0,2,2,2,2,,,,,
493,2,1,2,2,2,2,,,,,
494,2,2,2,0,2,2,,,,,
495,2,2,2,0,2,2,,,,,
496,2,2,2,0,2,2,,,,,
497,2,2,2,0,2,2,,,,,
498,2,2,2,0,2,2,,,,,
499,0,2,2,0,0,2,,,,,
500,2,2,2,0,2,2,,,,,
501,2,2,2,0,2,2,,,,,
502,2,0,2,0,0,2,,,,,
503,2,0,2,0,0,0,,,,,
504,0,0,2,0,0,0,,,,,
505,0,0,0,0,2,0,,,,,
506,0,0,0,0,2,0,,,,,
507,0,0,0,0,2,0,,,,,
508,0,0,0,0,2,0,,,,,
509,0,0,0,0,2,0,,,,,
510,0,0,0,0,2,0,,,,,
511,0,0,0,0,2,0,,,,,
512,0,0,0,0,2,0,,,,,
513,0,0,0,0,2,0,,,,,
514,0,1,0,0,2,0,,,,,
515,0,2,0,0,2,0,,,,,
516,0,2,0,2,2,0,,,,,
517,0,2,0,0,2,0,,,,,
518,0,0,0,0,2,0,,,,,
519,0,0,0,0,2,0,,,,,
520,0,0,0,0,2,0,,,,,
521,2,2,0,0,2,0,,,,,
522,2,2,0,2,2,2,,,,,
523,2,2,0,2,2,2,,,,,
524,2,0,0,2,2,2,,,,,
525,0,0,0,2,2,2,,,,,
526,0,2,0,2,2,2,,,,,
527,0,2,0,2,2,2,,,,,
528,2,2,0,2,2,2,,,,,
529,0,2,0,2,2,2,,,,,
530,2,2,2,2,2,2,,,,,
531,2,2,2,2,2,2,,,,,
532,2,2,2,2,2,2,,,,,
533,2,2,2,2,2,2,,,,,
534,2,2,2,2,2,2,,,,,
535,2,2,2,2,2,2,,,,,
536,2,2,2,2,2,2,,,,,
537,2,2,2,2,2,2,,,,,
538,2,2,2,2,2,0,,,,,
539,2,2,2,2,2,0,,,,,
540,2,2,2,2,2,0,,,,,
541,2,0,2,2,2,0,,,,,
542,0,0,2,0,2,0,,,,,
543,0,0,2,0,2,0,,,,,
544,0,0,2,0,2,0,,,,,
545,2,0,2,2,2,0,,,,,
546,0,2,2,2,2,0,,,,,
547,0,0,2,2,2,0,,,,,
548,0,0,2,0,2,0,,,,,
549,0,0,2,0,2,0,,,,,
550,0,0,0,0,2,0,,,,,
551,0,0,0,0,2,0,,,,,
552,0,0,0,0,2,0,,,,,
553,0,0,0,0,2,0,,,,,
554,0,0,0,0,2,0,,,,,
555,0,0,0,0,0,0,,,,,
556,0,0,0,0,2,0,,,,,
557,0,0,0,0,0,0,,,,,
558,0,0,2,0,2,0,,,,,
559,0,0,2,0,2,0,,,,,
560,2,2,2,0,2,0,,,,,
561,0,2,2,0,2,0,,,,,
562,0,2,2,0,2,0,,,,,
563,0,0,0,0,2,0,,,,,
564,2,0,0,0,2,0,,,,,
565,2,0,0,0,2,0,,,,,
566,0,2,0,0,2,0,,,,,
567,0,0,0,0,2,0,,,,,
568,0,0,0,0,2,0,,,,,
569,0,0,0,0,2,0,,,,,
570,0,0,0,0,2,0,,,,,
571,0,0,0,0,2,0,,,,,
572,0,0,0,0,2,0,,,,,
573,0,0,0,2,2,0,,,,,
574,0,0,0,2,2,0,,,,,
575,0,0,0,2,2,0,,,,,
576,0,0,2,2,2,1,,,,,
577,0,0,2,2,2,1,,,,,
578,0,0,2,2,2,0,,,,,
579,0,0,2,2,2,0,,,,,
580,0,0,2,2,2,0,,,,,
581,0,0,2,2,2,0,,,,,
582,2,0,2,2,2,2,,,,,
583,2,2,2,2,2,2,,,,,
584,2,2,2,2,2,2,,,,,
585,2,2,2,2,2,2,,,,,
586,2,2,2,2,2,2,,,,,
587,2,2,2,2,2,2,,,,,
588,2,2,2,2,2,2,,,,,
589,2,2,2,2,2,2,,,,,
590,2,2,2,2,2,2,,,,,
591,2,2,2,2,2,2,,,,,
592,2,2,2,2,2,2,,,,,
593,2,2,2,2,2,2,,,,,
594,2,0,2,2,2,2,,,,,
595,2,2,2,2,2,2,,,,,
596,2,2,2,2,2,2,,,,,
597,0,2,2,2,2,2,,,,,
598,2,2,2,2,2,2,,,,,
599,2,2,2,2,2,2,,,,,
600,2,2,2,2,2,2,,,,,
601,2,0,2,0,2,2,,,,,
602,2,0,2,0,2,2,,,,,
603,0,0,2,0,2,2,,,,,
604,0,0,0,0,2,0,,,,,
605,0,0,0,0,2,0,,,,,
606,0,0,0,0,2,0,,,,,
607,2,0,0,0,2,0,,,,,
608,0,0,0,0,2,0,,,,,
609,0,0,0,0,2,0,,,,,
610,0,0,0,0,2,0,,,,,
611,2,2,0,0,2,0,,,,,
612,2,2,0,0,2,0,,,,,
613,0,0,0,0,2,0,,,,,
614,0,0,0,0,2,0,,,,,
615,0,0,0,0,2,0,,,,,
616,0,0,0,0,2,0,,,,,
617,0,0,0,0,2,0,,,,,
618,0,0,0,0,2,0,,,,,
619,0,0,0,0,2,0,,,,,
620,0,0,0,0,2,0,,,,,
621,0,0,0,0,2,0,,,,,
622,0,0,0,2,2,0,,,,,
623,0,0,0,2,2,0,,,,,
624,2,2,0,2,2,0,,,,,
625,2,2,0,2,2,0,,,,,
626,2,2,0,2,2,0,,,,,
627,2,2,0,2,2,0,,,,,
628,0,2,0,2,2,2,,,,,
629,2,2,0,2,2,2,,,,,
630,2,2,0,2,2,2,,,,,
631,2,2,0,2,2,2,,,,,
632,0,2,0,2,2,2,,,,,
633,0,2,0,2,2,2,,,,,
634,0,2,0,2,2,2,,,,,
635,0,2,0,2,2,2,,,,,
636,0,2,0,2,2,2,,,,,
637,0,2,0,2,2,2,,,,,
638,0,2,0,2,2,0,,,,,
639,0,0,0,0,2,0,,,,,
640,0,0,0,0,2,0,,,,,
641,0,0,0,0,0,0,,,,,
642,0,0,0,0,2,0,,,,,
643,2,0,0,0,0,0,,,,,
644,0,0,0,2,2,0,,,,,
645,0,0,0,2,2,0,,,,,
646,0,0,0,2,2,0,,,,,
647,0,0,0,2,2,0,,,,,
648,0,0,0,0,2,0,,,,,
649,0,0,0,2,2,0,,,,,
650,0,0,0,2,0,0,,,,,
651,0,0,0,2,0,0,,,,,
652,0,0,0,2,0,0,,,,,
653,0,0,0,2,0,0,,,,,
654,0,1,0,2,0,0,,,,,
655,0,2,0,2,0,0,,,,,
656,0,2,0,2,0,2,,,,,
657,0,2,0,0,2,2,,,,,
658,2,2,0,0,0,2,,,,,
659,2,2,0,0,0,2,,,,,
660,2,2,0,0,0,2,,,,,
661,2,2,0,0,0,2,,,,,
662,2,2,0,0,0,2,,,,,
663,2,2,0,0,0,2,,,,,
664,2,2,0,0,2,0,,,,,
665,0,2,0,0,2,0,,,,,
666,0,2,0,0,0,0,,,,,
667,0,2,0,0,0,0,,,,,
668,0,2,0,0,2,0,,,,,
669,2,2,0,2,2,0,,,,,
670,2,2,2,2,0,0,,,,,
671,2,2,2,2,2,0,,,,,
672,0,2,2,2,2,0,,,,,
673,2,1,2,2,2,2,,,,,
674,2,1,2,2,2,2,,,,,
675,2,2,2,2,1,2,,,,,
676,2,2,2,2,2,2,,,,,
677,2,2,2,2,1,2,,,,,
678,2,2,2,2,2,2,,,,,
679,0,2,2,2,2,2,,,,,
680,2,2,2,2,2,2,,,,,
681,2,2,2,2,2,2,,,,,
682,0,2,2,2,2,2,,,,,
683,0,2,2,2,2,2,,,,,
684,0,2,2,2,2,2,,,,,
685,2,2,0,2,1,2,,,,,
686,0,2,0,2,2,2,,,,,
687,2,2,0,2,2,2,,,,,
688,2,2,2,2,2,2,,,,,
689,0,2,2,2,2,2,,,,,
690,0,2,2,2,2,2,,,,,
691,2,2,2,2,2,2,,,,,
692,2,2,2,2,2,2,,,,,
693,2,2,2,2,2,2,,,,,
694,2,2,2,0,2,2,,,,,
695,2,2,2,0,2,2,,,,,
696,2,2,2,0,2,2,,,,,
697,2,2,2,0,2,2,,,,,
698,0,2,2,0,2,0,,,,,
699,0,2,2,0,2,0,,,,,
700,0,2,2,0,2,0,,,,,
701,0,2,2,0,2,0,,,,,
702,0,2,2,0,2,0,,,,,
703,0,2,0,0,2,0,,,,,
704,0,2,0,0,2,0,,,,,
